,No,material,feedrate,clamp_pressure,tool_condition,machining_finalized,passed_visual_inspection
0,1,wax,6,4.0,unworn,yes,yes
1,2,wax,20,4.0,unworn,yes,yes
2,3,wax,6,3.0,unworn,yes,yes
3,4,wax,6,2.5,unworn,no,no
4,5,wax,20,3.0,unworn,no,no
5,6,wax,6,4.0,worn,yes,no
6,7,wax,20,4.0,worn,no,no
7,8,wax,20,4.0,worn,yes,no
8,9,wax,15,4.0,worn,yes,no
9,10,wax,12,4.0,worn,yes,no
10,11,wax,3,4.0,unworn,yes,yes
11,12,wax,3,3.0,unworn,yes,yes
12,13,wax,3,4.0,worn,yes,yes
13,14,wax,3,3.0,worn,yes,yes
14,15,wax,6,3.0,worn,yes,yes
15,16,wax,20,3.0,worn,no,no
16,17,wax,3,2.5,unworn,yes,yes
17,18,wax,3,2.5,worn,yes,yes
